Município;Data da Ocorrência;Número da Ocorrência;Desastre;IDHM;Receita Corrente Líquida;PIB;População;Prefeito;Pessoas Afetadas;Prejuízo Público;Prejuízo Privado;Recebeu Ajuda?;Material;Quantidade;Data da Solicitação;Data do Envio
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Kit Dormitório-(1 cobertor solteiro, 1 lençol solteiro, 1 fronha e 1 travesseiro);150;16/10/2023 10:15;17/10/2023 10:00
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Kit Higiene;150;16/10/2023 10:15;17/10/2023 10:00
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Kit Limpeza;150;16/10/2023 10:15;17/10/2023 10:00
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Cesta Básica;-;03/11/2023 16:44;-
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Colchão Solteiro;60;03/11/2023 16:44;10/11/2023 09:00
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Colchão Solteiro;160;03/11/2023 16:44;21/11/2023 11:00
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Colchão Solteiro;190;03/11/2023 16:44;20/11/2023 09:00
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Kit Higiene;250;03/11/2023 16:44;10/11/2023 09:00
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Kit Higiene;250;03/11/2023 16:44;14/11/2023 09:30
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Kit Limpeza;250;03/11/2023 16:44;10/11/2023 09:00
São Mateus do Sul;12/10/2023 09:00;392/2023;Inundações;0,719;R$ 136.039.722,01;R$ 1.306.339,89;42.358;FERNANDA GARCIA SARDANHA;1.824;R$ 227.200,00;R$ 435.000,00;Sim;Kit Limpeza;250;03/11/2023 16:44;14/11/2023 09:30
Virmond;12/10/2023 01:36;376/2023;Tempestade Local/Convectiva - Granizo;0,722;R$ 21.251.778,39;R$ 174.637,88;3.811;Neimar Granoski;1.460;R$ 52.318,00;R$ 320.000,00;Sim;Telha Fibrocimento 2.44x500x4mm;3000;14/10/2023 11:36;18/10/2023 18:00
